timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,VFR_HUD.airspeed,VFR_HUD.groundspeed,VFR_HUD.heading,VFR_HUD.throttle,VFR_HUD.alt,VFR_HUD.climb
1429524825.99799991,,,,,,,,,,1493957,0.0537258386612,-0.00704497890547,-0.217422664165,-0.00286300806329,-0.002917308826,0.0020040050149,0.0,0.0244814828038,347,0,311.619842529,-0.0910444930196
1429524826.17100000,1494088,476028010,85340953,410873,-6806,0,-1,8,34754,,,,,,,,,,,,,
1429524826.50399995,,,,,,,,,,1494457,0.0604231990874,-0.00668830610812,-0.217289328575,-0.0122858583927,0.00162158044986,-0.00113863684237,0.0,0.0114360619336,347,0,311.619842529,-0.0887241140008
1429524826.95199990,,,,,,,,,,1494967,0.0567429028451,-0.005828903988,-0.217408940196,-0.000766445067711,0.00581111665815,-0.000965926796198,,,,,,
1429524827.05099988,,,,,,,,,,,,,,,,,0.0,0.00907509587705,347,0,311.619842529,-0.0882997959852
1429524827.07999992,1495098,476028015,85340954,410971,-6707,0,-1,8,34753,,,,,,,,,,,,,
1429524827.41599989,,,,,,,,,,1495467,0.0343620814383,-0.00680929329246,-0.21744017303,-0.0341017134488,-0.00326624047011,0.000428728759289,,,,,,
1429524827.52799988,,,,,,,,,,,,,,,,,0.0,0.0107589038089,347,0,311.619842529,-0.0879061967134
1429524828.03900003,,,,,,,,,,1495977,0.0462286546826,-0.00809017848223,-0.217790439725,0.101155467331,-0.00135241565295,0.00112465955317,0.0,0.0515487380326,347,0,311.619842529,-0.0835075452924
1429524828.22199988,1496108,476028026,85340948,411017,-6662,4,-4,8,34752,,,,,,,,,,,,,
1429524828.49600005,,,,,,,,,,1496487,0.0431685745716,-0.00727689312771,-0.217694401741,0.0294230747968,-0.00187382393051,0.000425001606345,0.0,0.0454902723432,347,0,311.619842529,-0.0861258134246
1429524829.15999985,,,,,,,,,,1496987,0.0510574914515,-0.00648134294897,-0.217894330621,-0.0520880222321,0.00720270629972,0.000596851110458,0.0,0.0829272568226,347,0,311.619842529,-0.0916820764542
1429524829.35500002,1497108,476028027,85340935,411045,-6634,1,-9,9,34750,,,,,,,,,,,,,
1429524829.49499989,,,,,,,,,,1497497,0.0531292147934,-0.00741585949436,-0.218145012856,0.0114384982735,-0.00240084645338,0.000419609248638,0.0,0.117814347148,347,0,311.619842529,-0.0908972844481
1429524830.05499983,,,,,,,,,,1497997,0.0440307930112,-0.00783367455006,-0.218500226736,-0.0246913172305,0.00265844771639,0.000242909416556,,,,,,
